isbn_livro,posicao,copias_vendidas,mes_ano
978-85-68014-00-4,4,9.559,7//2021
978-65-80309-31-3,5,8.959,7//2021
978-85-32529-78-7,6,7.414,7//2021
978-85-95083-27-1,7,6.805,7//2021
978-85-62409-88-2,8,6.724,7//2021
978-85-45202-21-9,9,6.532,7//2021
978-85-01105-87-5,10,5.576,7//2021
978-85-84391-50-9,11,5.575,7//2021
978-85-50801-48-3,12,5.496,7//2021
978-65-55871-90-6,13,5.224,7//2021
978-85-65765-69-5,14,5.008,7//2021
978-85-65765-01-5,15,4.956,7//2021
978-85-75422-39-7,16,4.937,7//2021
978-85-32604-91-0,17,4.849,7//2021
978-65-88444-00-9,18,4.616,7//2021
978-85-39004-11-9,19,4.584,7//2021
978-85-94541-47-5,20,4.387,7//2021
978-85-55340-94-9,1,8.587,8//2021
978-85-65765-48-0,2,8.538,8//2021
978-65-55441-20-8,3,8.304,8//2021
978-85-68014-00-4,4,6.783,8//2021
978-65-55128-66-6,5,6.390,8//2021
978-85-32529-78-7,6,5.969,8//2021
978-85-84391-50-9,7,5.660,8//2021
978-65-55670-39-4,8,5.510,8//2021
978-65-80309-31-3,9,5.336,8//2021
978-85-45202-21-9,10,4.328,8//2021
978-85-95083-27-1,11,4.204,8//2021
978-85-62409-88-2,12,4.159,8//2021
978-85-75422-39-7,13,3.982,8//2021
978-65-55594-17-1,14,3.945,8//2021
978-85-51002-34-6,15,3.916,8//2021
978-65-88444-00-9,16,3.546,8//2021
978-85-51005-41-5,17,3.493,8//2021
978-85-39004-11-9,18,3.483,8//2021
978-85-50801-48-3,19,3.430,8//2021
978-85-32604-91-0,20,3.374,8//2021
978-85-65765-48-0,1,7.157,9//2021
978-85-68014-00-4,2,6.581,9//2021
978-85-55340-94-9,3,6.162,9//2021
978-85-51002-34-6,4,5.503,9//2021
978-85-32529-78-7,5,5.075,9//2021
978-65-80309-31-3,6,4.982,9//2021
978-85-84391-50-9,7,4.879,9//2021
978-65-55441-42-0,8,4.853,9//2021
978-65-55128-66-6,9,4.811,9//2021
978-85-62409-88-2,10,4.596,9//2021
978-85-45202-21-9,11,4.149,9//2021
978-65-55126-98-3,12,3.926,9//2021
978-85-01105-87-5,13,3.622,9//2021
978-85-65765-69-5,14,3.470,9//2021
978-85-01112-52-1,15,3.423,9//2021
978-65-55597-94-3,16,3.381,9//2021
978-85-47001-32-2,17,3.277,9//2021
978-85-43104-33-1,18,3.048,9//2021
978-85-95083-27-1,19,3.040,9//2021
978-85-75422-39-7,20,2.976,9//2021
978-65-55441-35-2,1,13.611,10//2021
978-65-55128-66-6,2,10.249,10//2021
978-85-68014-00-4,3,9.070,10//2021
978-65-55440-28-7,4,8.032,10//2021
978-85-51002-34-6,5,7.935,10//2021
978-65-89623-15-1,6,7.829,10//2021
978-85-65765-48-0,7,7.288,10//2021
978-85-62409-88-2,8,6.498,10//2021
978-85-32529-78-7,9,6.355,10//2021
978-85-55340-94-9,10,5.791,10//2021
978-85-84391-50-9,11,5.305,10//2021
978-85-45202-21-9,12,5.164,10//2021
978-65-80309-31-3,13,5.045,10//2021
978-65-55441-40-6,14,4.824,10//2021
978-85-01112-51-4,15,4.612,10//2021
978-85-45701-95-8,16,4.517,10//2021
978-65-55597-94-3,17,4.513,10//2021
978-85-32604-91-0,18,4.437,10//2021
978-85-01112-52-1,19,4.398,10//2021
978-85-65765-69-5,20,4.241,10//2021
978-65-89623-15-1,1,20.062,11//2021
978-65-55441-19-2,2,18.002,11//2021
978-85-68014-00-4,3,7.194,11//2021
978-85-84391-50-9,4,6.137,11//2021
978-85-45202-21-9,5,5.844,11//2021
978-85-51002-34-6,6,5.201,11//2021
978-85-55340-94-9,7,4.635,11//2021
978-85-42629-28-6,8,4.479,11//2021
978-85-62409-88-2,9,4.446,11//2021
978-65-80309-31-3,10,4.435,11//2021
978-85-32529-78-7,11,4.084,11//2021
978-85-42209-82-2,12,3.980,11//2021
978-65-59213-07-8,13,3.710,11//2021
978-85-01112-51-4,14,3.626,11//2021
978-65-87885-76-6,15,3.603,11//2021
978-85-65765-48-0,16,3.588,11//2021
978-85-32604-91-0,17,3.483,11//2021
978-85-95083-27-1,18,3.337,11//2021
978-85-75422-39-7,19,3.328,11//2021
978-65-55872-55-2,20,3.111,11//2021
978-65-89623-15-1,1,57.624,12//2021
978-85-45202-21-9,2,36.786,12//2021
978-65-86077-89-6,3,14.522,12//2021
978-85-84391-50-9,4,14.434,12//2021
978-65-80309-31-3,5,12.078,12//2021
978-85-51002-34-6,6,11.705,12//2021
978-65-59212-92-7,7,11.416,12//2021
978-85-68014-00-4,8,11.176,12//2021
978-85-42218-75-6,9,10.858,12//2021
978-85-32529-78-7,10,9.985,12//2021
978-85-55340-94-9,11,9.749,12//2021
978-65-89827-02-3,12,8.917,12//2021
978-85-42209-82-2,13,8.827,12//2021
978-85-01112-51-4,14,8.150,12//2021
978-85-32512-94-9,15,7.960,12//2021
978-65-55441-75-8,16,7.527,12//2021
978-85-62409-88-2,17,7.376,12//2021
978-85-42629-28-6,18,7.358,12//2021
978-85-65765-48-0,19,7.290,12//2021
978-65-58020-48-6,20,7.273,12//2021
978-85-68014-00-4,1,9.862,1//2022
978-65-80309-31-3,2,8.674,1//2022
978-85-32529-78-7,3,8.010,1//2022
978-85-51002-34-6,4,7.816,1//2022
978-65-86077-89-6,5,7.151,1//2022
978-85-01112-51-4,6,6.716,1//2022
978-85-95083-27-1,7,6.636,1//2022
978-85-62409-88-2,8,6.216,1//2022
978-85-84391-50-9,9,5.474,1//2022
978-85-75422-39-7,10,5.294,1//2022
978-85-55340-94-9,11,5.270,1//2022
978-85-39004-11-9,12,5.051,1//2022
978-65-88484-39-5,13,4.925,1//2022
978-85-32604-91-0,14,4.922,1//2022
978-85-42209-82-2,15,4.817,1//2022
978-85-95081-53-6,16,4.691,1//2022
978-85-45202-21-9,17,4.215,1//2022
978-65-87885-72-8,18,4.183,1//2022
978-85-50801-48-3,19,3.942,1//2022
978-65-59212-92-7,20,3.927,1//2022
978-65-86077-89-6,1,10.970,2//2022
978-85-68014-00-4,2,8.107,2//2022
978-85-32529-78-7,3,7.356,2//2022
978-65-88523-27-8,4,5.651,2//2022
978-85-51002-34-6,5,5.591,2//2022
978-85-62409-88-2,6,5.588,2//2022
978-85-01112-51-4,7,5.373,2//2022
978-85-95083-27-1,8,5.094,2//2022
978-85-95081-53-6,9,4.781,2//2022
978-85-75422-39-7,10,4.691,2//2022
978-65-80309-31-3,11,4.616,2//2022
978-85-84391-50-9,12,4.534,2//2022
978-85-39004-11-9,13,4.107,2//2022
978-65-55603-02-6,14,4.080,2//2022
978-65-84661-09-7,15,4.004,2//2022
978-65-53623-16-3,16,3.676,2//2022
978-85-55340-94-9,17,3.488,2//2022
978-85-43104-33-1,18,3.435,2//2022
978-85-42209-82-2,19,3.395,2//2022
978-85-47000-24-0,20,3.299,2//2022
978-65-53623-16-3,1,11.416,3//2022
978-85-68014-00-4,2,8.243,3//2022
978-85-01112-51-4,3,6.396,3//2022
978-85-32529-78-7,4,5.263,3//2022
978-85-51002-34-6,5,4.952,3//2022
978-65-55603-02-6,6,4.819,3//2022
978-85-62409-88-2,7,4.620,3//2022
978-85-84391-50-9,8,4.608,3//2022
978-85-55340-94-9,9,4.549,3//2022
978-65-80309-31-3,10,4.472,3//2022
978-85-95083-27-1,11,4.306,3//2022
978-65-86077-89-6,12,3.999,3//2022
978-85-42629-28-6,13,3.769,3//2022
978-85-01117-68-7,14,3.657,3//2022
978-65-55441-98-7,15,3.511,3//2022
978-85-75422-39-7,16,3.478,3//2022
978-65-89623-84-7,17,3.422,3//2022
978-85-47000-24-0,18,3.315,3//2022
978-85-42209-82-2,19,3.112,3//2022
978-85-39004-11-9,20,3.099,3//2022
978-65-53623-16-3,1,10.735,4//2022
978-85-68014-00-4,2,8.725,4//2022
978-85-32529-78-7,3,7.035,4//2022
978-85-01112-51-4,4,6.982,4//2022
978-65-89623-84-7,5,6.373,4//2022
978-85-51002-34-6,6,5.472,4//2022
978-85-84391-50-9,7,5.263,4//2022
978-65-80309-31-3,8,5.014,4//2022
978-85-42218-75-6,9,4.374,4//2022
978-85-75422-39-7,10,3.977,4//2022
978-85-95083-27-1,11,3.941,4//2022
978-85-55341-61-8,12,3.841,4//2022
978-85-68014-54-7,13,3.732,4//2022
978-85-95081-53-6,14,3.612,4//2022
978-85-55340-94-9,15,3.594,4//2022
978-85-43104-33-1,16,3.423,4//2022
978-65-88444-51-1,17,3.260,4//2022
978-85-42209-82-2,18,3.243,4//2022
978-85-62409-88-2,19,3.230,4//2022
978-65-55127-27-0,20,3.136,4//2022
978-85-55341-61-8,1,8.346,5//2022
978-85-45202-21-9,2,6.791,5//2022
978-85-68014-00-4,3,6.436,5//2022
978-85-55341-62-5,4,6.199,5//2022
978-85-01112-51-4,5,6.070,5//2022
978-85-55341-92-2,6,5.754,5//2022
978-65-88444-51-1,7,5.190,5//2022
978-65-80309-31-3,8,4.722,5//2022
978-85-51002-34-6,9,4.634,5//2022
978-65-59604-64-7,10,4.456,5//2022
978-85-32529-78-7,11,4.251,5//2022
978-65-53623-16-3,12,3.945,5//2022
978-65-86077-89-6,13,3.562,5//2022
978-65-88523-43-8,14,3.500,5//2022
978-85-42218-75-6,15,3.467,5//2022
978-85-68014-54-7,16,3.357,5//2022
978-85-84391-50-9,17,3.190,5//2022
978-85-75422-39-7,18,3.031,5//2022
978-65-58380-77-1,19,2.833,5//2022
978-85-95083-27-1,20,2.797,5//2022
978-85-68014-00-4,1,7.745,6//2022
978-85-01112-51-4,2,7.727,6//2022
978-65-53930-82-7,3,6.852,6//2022
978-65-86077-89-6,4,6.820,6//2022
978-85-45202-21-9,5,5.820,6//2022
978-85-55341-61-8,6,5.470,6//2022
978-85-32529-78-7,7,4.995,6//2022
978-85-51002-34-6,8,4.909,6//2022
978-85-42629-28-6,9,4.309,6//2022
978-65-55441-35-2,10,4.270,6//2022
978-85-55341-62-5,11,4.189,6//2022
978-65-55442-15-1,12,4.072,6//2022
978-65-80309-31-3,13,3.982,6//2022
978-85-55341-92-2,14,3.682,6//2022
978-65-59604-64-7,15,3.640,6//2022
978-85-39004-11-9,16,3.603,6//2022
978-85-68014-54-7,17,3.592,6//2022
978-85-84391-50-9,18,3.523,6//2022
978-85-95083-27-1,19,3.458,6//2022
978-65-88444-51-1,20,3.434,6//2022
978-85-01112-51-4,1,10.856,7//2022
978-65-59870-52-3,2,8.860,7//2022
978-65-86077-89-6,3,8.797,7//2022
